PageNo,Image,Message
1,opening01.png,"‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ 
‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ 
‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ "
1,,"‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢
‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢
‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢‚¢"
1,,"‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤‚¤
‚¤‚¤"
1,,‚¦
2,opening02.png,‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨‚¨
2,,‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©‚©
2,,‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ ‚ 
3,opening03.png,‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P‚P
3,,‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q‚Q
3,,‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R‚R
